tipo,NUM_TESIS,ID,AÑO,TABLAS,DIAGRAMAS,ANALITICAS,PAGS,NUM_TOT,NUM_GRAFICA,DISPERSION,BARRAS,MAPAS,CIRCULAR,SERIE_TIEMPO,HISTOGRAMA,CAJAB,OTRAS,3D,REJILLA,TRAMA,ETIQUETAS,FONDO_OBS,MARCO,OTRO,1VAR,2VAR,3+VAR,SI_EXPLIC,NO_EXPLIC,MULTI_NUM,PAG,OBSERVACIONES
1,8,IAC-2002-MVA,2002,0,1,0,92,77,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60,
1,8,IAC-2002-MVA,2002,0,1,0,92,78,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70,
1,8,IAC-2002-MVA,2002,0,1,0,92,79,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,70,
1,8,IAC-2002-MVA,2002,0,1,0,92,80,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,70,
1,8,IAC-2002-MVA,2002,0,1,0,92,81,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,73,
1,8,IAC-2002-MVA,2002,0,1,0,92,82,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,73,
1,8,IAC-2002-MVA,2002,0,1,0,92,83,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74,
1,8,IAC-2002-MVA,2002,0,1,0,92,84,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74,
1,8,IAC-2002-MVA,2002,0,1,0,92,85,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,74,
1,8,IAC-2002-MVA,2002,0,1,0,92,86,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,76,
1,8,IAC-2002-MVA,2002,0,1,0,92,87,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,76,
1,8,IAC-2002-MVA,2002,0,1,0,92,88,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,77,
1,8,IAC-2002-MVA,2002,0,1,0,92,89,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,80,
1,8,IAC-2002-MVA,2002,0,1,0,92,90,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,81,
1,8,IAC-2002-MVA,2002,0,1,0,92,91,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,82,
1,8,IAC-2002-MVA,2002,0,1,0,92,92,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,83,
1,10,IAC-1998-AZQ,1998,8,0,4,94,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,72,
1,10,IAC-1998-AZQ,1998,8,0,4,94,94,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,72,
